2026-07-24 18:38:50,170 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:38:50,191 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:38:50,993 | INFO | Cleaned datasets saved.
2026-07-24 18:38:51,916 | INFO | Merge completed successfully.
2026-07-24 18:42:14,117 | INFO | Detected encoding ascii
2026-07-24 18:42:14,308 | INFO | Loaded historical_data.csv
2026-07-24 18:42:14,309 | INFO | Detected encoding ascii
2026-07-24 18:42:14,310 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:42:14,408 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:42:14,423 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:42:15,212 | INFO | Cleaned datasets saved.
2026-07-24 18:42:16,131 | INFO | Merge completed successfully.
2026-07-24 18:45:01,861 | INFO | Detected encoding ascii
2026-07-24 18:45:02,051 | INFO | Loaded historical_data.csv
2026-07-24 18:45:02,052 | INFO | Detected encoding ascii
2026-07-24 18:45:02,053 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:45:02,150 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:45:02,165 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:45:02,932 | INFO | Cleaned datasets saved.
2026-07-24 18:45:03,828 | INFO | Merge completed successfully.
2026-07-24 18:51:30,138 | INFO | Detected encoding ascii
2026-07-24 18:51:30,347 | INFO | Loaded historical_data.csv
2026-07-24 18:51:30,348 | INFO | Detected encoding ascii
2026-07-24 18:51:30,349 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:51:30,449 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:51:30,465 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:51:31,224 | INFO | Cleaned datasets saved.
2026-07-24 18:51:32,151 | INFO | Merge completed successfully.
2026-07-24 18:58:21,410 | INFO | Detected encoding ascii
2026-07-24 18:58:21,614 | INFO | Loaded historical_data.csv
2026-07-24 18:58:21,615 | INFO | Detected encoding ascii
2026-07-24 18:58:21,616 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:58:21,729 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:58:21,749 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:58:22,550 | INFO | Cleaned datasets saved.
2026-07-24 18:58:23,478 | INFO | Merge completed successfully.
2026-07-24 19:16:51,206 | INFO | Detected encoding ascii
2026-07-24 19:16:51,602 | INFO | Loaded historical_data.csv
2026-07-24 19:16:51,604 | INFO | Detected encoding ascii
2026-07-24 19:16:51,607 | INFO | Loaded fear_greed_index.csv
2026-07-24 19:16:51,792 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 19:16:51,824 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 19:16:53,322 | INFO | Cleaned datasets saved.
2026-07-24 19:16:55,087 | INFO | Merge completed successfully.
2026-07-24 19:20:35,957 | INFO | Detected encoding ascii
2026-07-24 19:20:36,355 | INFO | Loaded historical_data.csv
2026-07-24 19:20:36,357 | INFO | Detected encoding ascii
2026-07-24 19:20:36,360 | INFO | Loaded fear_greed_index.csv
2026-07-24 19:20:36,559 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 19:20:36,590 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 19:20:38,094 | INFO | Cleaned datasets saved.
2026-07-24 19:20:39,853 | INFO | Merge completed successfully.
2026-07-24 19:43:04,793 | INFO | Detected encoding ascii
2026-07-24 19:43:05,174 | INFO | Loaded historical_data.csv
2026-07-24 19:43:05,176 | INFO | Detected encoding ascii
2026-07-24 19:43:05,179 | INFO | Loaded fear_greed_index.csv
2026-07-24 19:43:05,379 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 19:43:05,419 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 19:43:06,895 | INFO | Cleaned datasets saved.
2026-07-24 19:43:08,667 | INFO | Merge completed successfully.
2026-07-24 20:05:56,630 | INFO | Detected encoding ascii
2026-07-24 20:05:57,038 | INFO | Loaded historical_data.csv
2026-07-24 20:05:57,040 | INFO | Detected encoding ascii
2026-07-24 20:05:57,042 | INFO | Loaded fear_greed_index.csv
